Name,Score
NC_058368.1_100143404_100143247_Felis_catus,3
NC_058368.1_100944920_100945064_Felis_catus,68
NC_058368.1_10339999_10339865_Felis_catus,33
NC_058368.1_108744_108897_Felis_catus,25
NC_058368.1_11354751_11354850_Felis_catus,10
NC_058368.1_113885875_113885734_Felis_catus,55
NC_058368.1_114260154_114260058_Felis_catus,34
NC_058368.1_114513551_114513398_Felis_catus,25
NC_058368.1_114540234_114540317_Felis_catus,60
NC_058368.1_1149651_1149772_Felis_catus,71
NC_058368.1_115036438_115036639_Felis_catus,25
NC_058368.1_116262586_116262412_Felis_catus,82
NC_058368.1_116549380_116549488_Felis_catus,78
NC_058368.1_121418686_121418547_Felis_catus,2
NC_058368.1_122834981_122834852_Felis_catus,90
NC_058368.1_123601720_123601852_Felis_catus,24
NC_058368.1_127209649_127209560_Felis_catus,39
NC_058368.1_132522425_132522295_Felis_catus,94
NC_058368.1_135820738_135820895_Felis_catus,1
NC_058368.1_139073729_139073580_Felis_catus,55
NC_058368.1_139486900_139486810_Felis_catus,89
NC_058368.1_141985495_141985332_Felis_catus,99
NC_058368.1_144199406_144199290_Felis_catus,42
NC_058368.1_1476164_1476058_Felis_catus,1
NC_058368.1_172162181_172162292_Felis_catus,44
NC_058368.1_172841533_172841652_Felis_catus,5
NC_058368.1_174607086_174606873_Felis_catus,9
NC_058368.1_176376836_176376741_Felis_catus,92
NC_058368.1_178153059_178152976_Felis_catus,100
NC_058368.1_186062362_186062255_Felis_catus,44
NC_058368.1_187313362_187313448_Felis_catus,20
NC_058368.1_187589220_187589352_Felis_catus,6
NC_058368.1_189823176_189823285_Felis_catus,91
NC_058368.1_192327387_192327550_Felis_catus,76
NC_058368.1_195468379_195468549_Felis_catus,42
NC_058368.1_195674942_195675074_Felis_catus,5
NC_058368.1_197344342_197344427_Felis_catus,45
NC_058368.1_209242684_209242800_Felis_catus,46
NC_058368.1_210817187_210817016_Felis_catus,32
NC_058368.1_211304612_211304762_Felis_catus,1
NC_058368.1_211471101_211470951_Felis_catus,2
NC_058368.1_211831080_211831224_Felis_catus,66
NC_058368.1_212139249_212139419_Felis_catus,27
NC_058368.1_218669458_218670340_Felis_catus,16
NC_058368.1_21920699_21920840_Felis_catus,54
NC_058368.1_227532305_227532156_Felis_catus,31
NC_058368.1_228160298_228160522_Felis_catus,89
NC_058368.1_235549112_235548974_Felis_catus,10
NC_058368.1_24429895_24429808_Felis_catus,67
NC_058368.1_24983098_24983259_Felis_catus,40
NC_058368.1_25016218_25016410_Felis_catus,88
NC_058368.1_28922554_28922664_Felis_catus,97
NC_058368.1_36138269_36138141_Felis_catus,3
NC_058368.1_46256226_46256082_Felis_catus,47
NC_058368.1_51189148_51189025_Felis_catus,2
NC_058368.1_52701643_52701507_Felis_catus,6
NC_058368.1_5720500_5720605_Felis_catus,40
NC_058368.1_6469301_6469419_Felis_catus,53
NC_058368.1_67355289_67355371_Felis_catus,52
NC_058368.1_70915411_70915048_Felis_catus,28
NC_058368.1_72123430_72123293_Felis_catus,93
NC_058368.1_82070506_82070669_Felis_catus,18
NC_058368.1_82335840_82335678_Felis_catus,43
NC_058368.1_87415496_87415325_Felis_catus,66
NC_058368.1_87866546_87866464_Felis_catus,57
NC_058368.1_9533893_9533787_Felis_catus,29
NC_058369.1_10170702_10170849_Felis_catus,9
NC_058369.1_101763682_101763769_Felis_catus,76
NC_058369.1_10331009_10330773_Felis_catus,57
NC_058369.1_11366856_11366725_Felis_catus,55
NC_058369.1_12296002_12295858_Felis_catus,73
NC_058369.1_12351443_12351298_Felis_catus,71
NC_058369.1_125610264_125610164_Felis_catus,74
NC_058369.1_12707516_12707350_Felis_catus,72
NC_058369.1_12937217_12937025_Felis_catus,95
NC_058369.1_13417351_13417606_Felis_catus,1
NC_058369.1_13565318_13565126_Felis_catus,71
NC_058369.1_13576224_13576018_Felis_catus,98
NC_058369.1_139601925_139601797_Felis_catus,43
NC_058369.1_140810418_140810775_Felis_catus,81
NC_058369.1_145194018_145193897_Felis_catus,35
NC_058369.1_146136242_146136029_Felis_catus,82
NC_058369.1_146400821_146400912_Felis_catus,91
NC_058369.1_148323541_148323358_Felis_catus,32
NC_058369.1_150665936_150665764_Felis_catus,89
NC_058369.1_151137441_151137321_Felis_catus,13
NC_058369.1_153033853_153033751_Felis_catus,12
NC_058369.1_153604150_153603933_Felis_catus,60
NC_058369.1_153610054_153609960_Felis_catus,38
