Name,Score,Start,End,Fickett,pI,ORF_integrity,Label
NC_054857.1_1017696_1017917_Aspergillus_puulaauensis,0.172549,40,243,0.44328,11.1598510742,1,noncoding
NC_054857.1_105292_105486_Aspergillus_puulaauensis,0.0606513,77,343,0.39262,7.74188232422,-1,noncoding
NC_054857.1_1060342_1059931_Aspergillus_puulaauensis,0.1737,42,560,0.47137,6.10028076172,-1,noncoding
NC_054857.1_1086192_1086638_Aspergillus_puulaauensis,0.996334,4,522,0.45843,5.16461181641,1,coding
NC_054857.1_1087754_1087290_Aspergillus_puulaauensis,0.806808,251,589,0.45223,5.31658935547,1,coding
NC_054857.1_1116103_1116964_Aspergillus_puulaauensis,0.999996,163,975,0.48263,4.59063720703,1,coding
NC_054857.1_1149480_1149364_Aspergillus_puulaauensis,0.0137946,104,199,0.39643,9.49273681641,1,noncoding
NC_054857.1_1237158_1236834_Aspergillus_puulaauensis,0.0730618,101,286,0.4412,6.95733642578,1,noncoding
NC_054857.1_1268505_1268332_Aspergillus_puulaauensis,0.0815215,63,323,0.4674,3.82696533203,-1,noncoding
NC_054857.1_1291948_1291686_Aspergillus_puulaauensis,0.0313006,220,411,0.40476,6.70343017578,-1,noncoding
NC_054857.1_1312260_1312679_Aspergillus_puulaauensis,0.738304,100,495,0.41056,9.21624755859,1,coding
NC_054857.1_1376969_1377107_Aspergillus_puulaauensis,0.018216,65,220,0.3085,8.76788330078,1,noncoding
NC_054857.1_1420388_1420203_Aspergillus_puulaauensis,0.0352051,81,155,0.46468,10.8599243164,1,noncoding
NC_054857.1_1422657_1422239_Aspergillus_puulaauensis,0.0911977,369,569,0.37152,8.96649169922,-1,noncoding
NC_054857.1_1444338_1444122_Aspergillus_puulaauensis,0.042677,51,242,0.33751,11.4371948242,1,noncoding
NC_054857.1_1469653_1469308_Aspergillus_puulaauensis,0.0328642,290,496,0.37524,5.97088623047,-1,noncoding
NC_054857.1_1490894_1490749_Aspergillus_puulaauensis,0.0226283,224,295,0.44855,3.49224853516,-1,noncoding
NC_054857.1_1493254_1493168_Aspergillus_puulaauensis,0.161748,102,236,0.4304,11.705871582,-1,noncoding
NC_054857.1_1512368_1512215_Aspergillus_puulaauensis,0.446285,4,246,0.48921,9.38714599609,1,noncoding
NC_054857.1_153440_154113_Aspergillus_puulaauensis,0.995477,214,813,0.43985,9.53436279297,1,coding
NC_054857.1_154473_154307_Aspergillus_puulaauensis,0.166182,108,317,0.42813,11.2576293945,-1,noncoding
NC_054857.1_1574185_1575274_Aspergillus_puulaauensis,1,77,1165,0.46872,5.55999755859,1,coding
NC_054857.1_1594099_1594417_Aspergillus_puulaauensis,0.141716,128,469,0.42032,9.79742431641,-1,noncoding
NC_054857.1_1595652_1596772_Aspergillus_puulaauensis,0.999999,354,1196,0.47547,4.34344482422,1,coding
NC_054857.1_1638028_1637937_Aspergillus_puulaauensis,0.0675121,94,222,0.45231,10.9400024414,1,noncoding
NC_054857.1_1681992_1682753_Aspergillus_puulaauensis,0.999952,77,856,0.47641,9.32623291016,1,coding
NC_054857.1_1693422_1693015_Aspergillus_puulaauensis,0.962689,63,482,0.42506,4.96124267578,1,coding
NC_054857.1_1704198_1704363_Aspergillus_puulaauensis,0.245926,77,262,0.4327,3.91900634766,1,noncoding
NC_054857.1_1704421_1705327_Aspergillus_puulaauensis,0.0881921,749,1057,0.4547,4.05426025391,-1,noncoding
NC_054857.1_1710857_1710986_Aspergillus_puulaauensis,0.101341,77,235,0.47492,4.28009033203,1,noncoding
NC_054857.1_1712185_1712065_Aspergillus_puulaauensis,0.0181798,20,121,0.40044,9.98785400391,1,noncoding
NC_054857.1_175766_176192_Aspergillus_puulaauensis,0.659354,149,511,0.42063,8.70758056641,1,coding
NC_054857.1_1824623_1824402_Aspergillus_puulaauensis,0.0614819,167,316,0.44015,5.04949951172,1,noncoding
NC_054857.1_1825725_1825823_Aspergillus_puulaauensis,0.0401746,9,161,0.41733,5.78948974609,1,noncoding
NC_054857.1_1857023_1857550_Aspergillus_puulaauensis,0.952458,256,654,0.4696,4.85552978516,1,coding
