Name,Score,Label
NC_066857.1_10150200_10150119_Cucumis_melo,-2.303340,Non-coding
NC_066857.1_10185436_10185211_Cucumis_melo,-2.050380,Non-coding
NC_066857.1_1031973_1031838_Cucumis_melo,-2.239890,Non-coding
NC_066857.1_1046858_1046688_Cucumis_melo,-2.316960,Non-coding
NC_066857.1_1058868_1058588_Cucumis_melo,-0.758040,Non-coding
NC_066857.1_11401730_11401630_Cucumis_melo,-2.320230,Non-coding
NC_066857.1_11699537_11699322_Cucumis_melo,-1.900250,Non-coding
NC_066857.1_1188562_1189007_Cucumis_melo,-0.900753,Non-coding
NC_066857.1_13060604_13060704_Cucumis_melo,-2.313110,Non-coding
NC_066857.1_1330646_1330741_Cucumis_melo,-2.378300,Non-coding
NC_066857.1_1519602_1519505_Cucumis_melo,-1.955620,Non-coding
NC_066857.1_15305570_15305110_Cucumis_melo,-1.462130,Non-coding
NC_066857.1_15413202_15412541_Cucumis_melo,-1.174920,Non-coding
NC_066857.1_1619049_1618949_Cucumis_melo,-2.305900,Non-coding
NC_066857.1_1624634_1624534_Cucumis_melo,-2.202340,Non-coding
NC_066857.1_16321748_16321830_Cucumis_melo,-1.963860,Non-coding
NC_066857.1_16451381_16451266_Cucumis_melo,-2.233910,Non-coding
NC_066857.1_16597880_16597985_Cucumis_melo,-2.232400,Non-coding
NC_066857.1_16906070_16906463_Cucumis_melo,-1.074600,Non-coding
NC_066857.1_17217112_17216979_Cucumis_melo,-2.177560,Non-coding
NC_066857.1_17421844_17421982_Cucumis_melo,-2.197300,Non-coding
NC_066857.1_17441800_17441614_Cucumis_melo,-2.405080,Non-coding
NC_066857.1_1746074_1746167_Cucumis_melo,-2.176200,Non-coding
NC_066857.1_17552309_17551650_Cucumis_melo,-0.089718,Non-coding
NC_066857.1_17567408_17567294_Cucumis_melo,-2.155250,Non-coding
NC_066857.1_1864776_1864649_Cucumis_melo,-2.382600,Non-coding
NC_066857.1_1997165_1997066_Cucumis_melo,-2.271760,Non-coding
NC_066857.1_20708049_20707949_Cucumis_melo,-2.336900,Non-coding
NC_066857.1_2110250_2110078_Cucumis_melo,-2.210540,Non-coding
NC_066857.1_21308024_21307620_Cucumis_melo,-1.180410,Non-coding
NC_066857.1_22785337_22785513_Cucumis_melo,-1.805780,Non-coding
NC_066857.1_2280365_2280469_Cucumis_melo,-2.075140,Non-coding
NC_066857.1_2333573_2333728_Cucumis_melo,-2.173570,Non-coding
NC_066857.1_23377299_23377569_Cucumis_melo,-1.595020,Non-coding
NC_066857.1_25204442_25204559_Cucumis_melo,-2.389560,Non-coding
NC_066857.1_26252485_26252393_Cucumis_melo,-2.463570,Non-coding
NC_066857.1_27026603_27026687_Cucumis_melo,-2.200270,Non-coding
NC_066857.1_28952234_28952411_Cucumis_melo,-2.077310,Non-coding
NC_066857.1_29128090_29127889_Cucumis_melo,-1.519240,Non-coding
NC_066857.1_2914258_2914426_Cucumis_melo,-2.506970,Non-coding
NC_066857.1_30374414_30373299_Cucumis_melo,-0.390411,Non-coding
NC_066857.1_30431996_30432272_Cucumis_melo,-1.557360,Non-coding
NC_066857.1_307584_307766_Cucumis_melo,-1.837100,Non-coding
NC_066857.1_30803104_30803016_Cucumis_melo,-2.311200,Non-coding
NC_066857.1_3097522_3097423_Cucumis_melo,-2.399310,Non-coding
NC_066857.1_3102072_3101911_Cucumis_melo,-2.117670,Non-coding
NC_066857.1_31435156_31435033_Cucumis_melo,-2.205080,Non-coding
NC_066857.1_31835027_31834910_Cucumis_melo,-2.034850,Non-coding
NC_066857.1_31857979_31858065_Cucumis_melo,-2.612710,Non-coding
NC_066857.1_3186680_3187211_Cucumis_melo,-0.291278,Non-coding
NC_066857.1_32499935_32500387_Cucumis_melo,-1.245750,Non-coding
NC_066857.1_32712614_32712476_Cucumis_melo,-2.537810,Non-coding
NC_066857.1_32742241_32742364_Cucumis_melo,-1.917580,Non-coding
NC_066857.1_32873730_32873649_Cucumis_melo,-2.323270,Non-coding
NC_066857.1_3296212_3296410_Cucumis_melo,-1.993020,Non-coding
NC_066857.1_33200420_33200189_Cucumis_melo,-2.328500,Non-coding
NC_066857.1_33487543_33487713_Cucumis_melo,-2.446180,Non-coding
NC_066857.1_33503834_33503946_Cucumis_melo,-2.042000,Non-coding
NC_066857.1_33791747_33791663_Cucumis_melo,-2.071590,Non-coding
NC_066857.1_34037083_34036989_Cucumis_melo,-2.563900,Non-coding
NC_066857.1_34047793_34047686_Cucumis_melo,-2.129380,Non-coding
NC_066857.1_34119569_34119680_Cucumis_melo,-2.319770,Non-coding
NC_066857.1_34442833_34442593_Cucumis_melo,-0.844327,Non-coding
NC_066857.1_34759433_34759325_Cucumis_melo,-2.377720,Non-coding
NC_066857.1_34761952_34761869_Cucumis_melo,-2.460110,Non-coding
NC_066857.1_34787118_34787219_Cucumis_melo,-2.259230,Non-coding
NC_066857.1_34975853_34975679_Cucumis_melo,-1.798560,Non-coding
NC_066857.1_35161021_35160921_Cucumis_melo,-2.431680,Non-coding
NC_066857.1_35275055_35274962_Cucumis_melo,-2.449710,Non-coding
NC_066857.1_35486963_35487163_Cucumis_melo,-2.390280,Non-coding
NC_066857.1_35688539_35687997_Cucumis_melo,-1.227170,Non-coding
NC_066857.1_3591450_3591565_Cucumis_melo,-2.470420,Non-coding
NC_066857.1_36624687_36624843_Cucumis_melo,-2.288850,Non-coding
