Name,Score,Label,Direction
NC_066857.1_10150200_10150119,-2.30334,Non-coding,forward
NC_066857.1_10185436_10185211,-2.05038,Non-coding,forward
NC_066857.1_1031973_1031838,-1.80032,Non-coding,reverse
NC_066857.1_1046858_1046688,-2.29557,Non-coding,reverse
NC_066857.1_1058868_1058588,-0.75804,Non-coding,forward
NC_066857.1_11401730_11401630,-2.28749,Non-coding,reverse
NC_066857.1_11699537_11699322,-1.52376,Non-coding,reverse
NC_066857.1_1188562_1189007,-0.900753,Non-coding,forward
NC_066857.1_13060604_13060704,-2.27819,Non-coding,reverse
NC_066857.1_1330646_1330741,-1.89878,Non-coding,reverse
NC_066857.1_1519602_1519505,-1.95562,Non-coding,forward
NC_066857.1_15305570_15305110,-1.43962,Non-coding,reverse
NC_066857.1_15413202_15412541,-1.17492,Non-coding,forward
NC_066857.1_1619049_1618949,-2.3059,Non-coding,forward
NC_066857.1_1624634_1624534,-2.04931,Non-coding,reverse
NC_066857.1_16321748_16321830,-1.96386,Non-coding,forward
NC_066857.1_16451381_16451266,-2.23391,Non-coding,forward
NC_066857.1_16597880_16597985,-2.2324,Non-coding,forward
NC_066857.1_16906070_16906463,-1.0746,Non-coding,forward
NC_066857.1_17217112_17216979,-2.16307,Non-coding,reverse
NC_066857.1_17421844_17421982,-1.93968,Non-coding,reverse
NC_066857.1_17441800_17441614,-1.67138,Non-coding,reverse
NC_066857.1_1746074_1746167,-2.1762,Non-coding,forward
NC_066857.1_17552309_17551650,-0.089718,Non-coding,forward
NC_066857.1_17567408_17567294,-1.88063,Non-coding,reverse
NC_066857.1_1864776_1864649,-2.18643,Non-coding,reverse
NC_066857.1_1997165_1997066,-2.1959,Non-coding,reverse
NC_066857.1_20708049_20707949,-2.3369,Non-coding,forward
NC_066857.1_2110250_2110078,-2.18477,Non-coding,reverse
NC_066857.1_21308024_21307620,-1.08132,Non-coding,reverse
NC_066857.1_22785337_22785513,-1.5313,Non-coding,reverse
NC_066857.1_2280365_2280469,-1.9131,Non-coding,reverse
NC_066857.1_2333573_2333728,-1.58436,Non-coding,reverse
NC_066857.1_23377299_23377569,-1.59502,Non-coding,forward
NC_066857.1_25204442_25204559,-2.25167,Non-coding,reverse
NC_066857.1_26252485_26252393,-2.027,Non-coding,reverse
NC_066857.1_27026603_27026687,-2.00104,Non-coding,reverse
NC_066857.1_28952234_28952411,-2.042,Non-coding,reverse
NC_066857.1_29128090_29127889,-1.51924,Non-coding,forward
NC_066857.1_2914258_2914426,-1.98201,Non-coding,reverse
NC_066857.1_30374414_30373299,-0.390411,Non-coding,forward
NC_066857.1_30431996_30432272,-1.55736,Non-coding,forward
NC_066857.1_307584_307766,-1.8371,Non-coding,forward
NC_066857.1_30803104_30803016,-1.99943,Non-coding,reverse
NC_066857.1_3097522_3097423,-2.28748,Non-coding,reverse
NC_066857.1_3102072_3101911,-1.4669,Non-coding,reverse
NC_066857.1_31435156_31435033,-2.1681,Non-coding,reverse
NC_066857.1_31835027_31834910,-2.03485,Non-coding,forward
NC_066857.1_31857979_31858065,-2.61271,Non-coding,forward
NC_066857.1_3186680_3187211,-0.291278,Non-coding,forward
NC_066857.1_32499935_32500387,-1.24575,Non-coding,forward
NC_066857.1_32712614_32712476,-2.39309,Non-coding,reverse
NC_066857.1_32742241_32742364,-1.91758,Non-coding,forward
NC_066857.1_32873730_32873649,-2.25646,Non-coding,reverse
NC_066857.1_3296212_3296410,-1.99302,Non-coding,forward
NC_066857.1_33200420_33200189,-2.16123,Non-coding,reverse
NC_066857.1_33487543_33487713,-2.09703,Non-coding,reverse
NC_066857.1_33503834_33503946,-2.042,Non-coding,forward
NC_066857.1_33791747_33791663,-2.07159,Non-coding,forward
NC_066857.1_34037083_34036989,-2.21085,Non-coding,reverse
NC_066857.1_34047793_34047686,-2.07714,Non-coding,reverse
