Name,Score,Start,End,Fickett,pI,ORF_integrity,Label,Direction
NC_058368.1_100143404_100143247,1.00827e-4,none,none,0.7482,7.70281982422,0,noncoding,forward
NC_058368.1_100944920_100945064,3.09117e-4,none,none,0.604,11.4371948242,0,noncoding,forward
NC_058368.1_10339999_10339865,1.36898e-4,none,none,0.7975,7.93402099609,0,noncoding,forward
NC_058368.1_108744_108897,4.64933e-4,none,none,1.0425,9.73297119141,0,noncoding,forward
NC_058368.1_11354751_11354850,2.25953e-4,none,none,0.3675,11.0404663086,0,noncoding,forward
NC_058368.1_113885875_113885734,1.74582e-4,none,none,0.4994,5.27276611328,0,noncoding,reverse
NC_058368.1_114260154_114260058,1.91495e-4,none,none,0.8905,5.21893310547,0,noncoding,forward
NC_058368.1_114513551_114513398,0.00103185,none,none,0.5046,9.53826904297,0,noncoding,reverse
NC_058368.1_114540234_114540317,1.04302e-5,none,none,0.8515,9.30352783203,0,noncoding,forward
NC_058368.1_1149651_1149772,0.00125115,none,none,0.6015,10.171081543,0,noncoding,reverse
NC_058368.1_115036438_115036639,1.14965e-4,none,none,1.075,6.52386474609,0,noncoding,forward
NC_058368.1_116262586_116262412,6.86438e-4,none,none,0.7335,4.52532958984,0,noncoding,forward
NC_058368.1_116549380_116549488,2.75146e-4,none,none,0.5355,6.80755615234,0,noncoding,forward
NC_058368.1_121418686_121418547,8.85003e-5,none,none,0.4343,8.68170166016,0,noncoding,reverse
NC_058368.1_122834981_122834852,1.02613e-4,none,none,0.7633,4.94989013672,0,noncoding,reverse
NC_058368.1_123601720_123601852,1.02862e-7,none,none,0.6994,5.96868896484,0,noncoding,forward
NC_058368.1_127209649_127209560,3.4365e-5,none,none,0.4508,10.6204223633,0,noncoding,forward
NC_058368.1_132522425_132522295,1.37285e-6,none,none,0.7029,9.50006103516,0,noncoding,reverse
NC_058368.1_135820738_135820895,4.60052e-6,none,none,0.5773,8.19830322266,0,noncoding,reverse
NC_058368.1_139073729_139073580,0.00109672,none,none,0.6439,7.97601318359,0,noncoding,reverse
NC_058368.1_139486900_139486810,1.77044e-5,none,none,0.91,6.69305419922,0,noncoding,reverse
NC_058368.1_141985495_141985332,1.56914e-4,none,none,0.8295,8.72430419922,0,noncoding,reverse
NC_058368.1_144199406_144199290,1e-7,none,none,0.6672,5.19647216797,0,noncoding,forward
NC_058368.1_1476164_1476058,4.80481e-5,none,none,0.9041,6.51190185547,0,noncoding,forward
NC_058368.1_172162181_172162292,4.67195e-4,none,none,0.7348,5.27496337891,0,noncoding,reverse
NC_058368.1_172841533_172841652,1.17438e-4,none,none,0.9273,6.52764892578,0,noncoding,forward
NC_058368.1_174607086_174606873,1.62582e-4,none,none,0.8827,9.38800048828,0,noncoding,forward
NC_058368.1_176376836_176376741,6.74776e-4,none,none,0.9726,9.50006103516,0,noncoding,reverse
NC_058368.1_178153059_178152976,6.67033e-5,none,none,0.5602,6.14495849609,0,noncoding,forward
NC_058368.1_186062362_186062255,2.03057e-5,none,none,0.9129,5.27496337891,0,noncoding,reverse
NC_058368.1_187313362_187313448,3.80232e-5,none,none,0.824,9.96246337891,0,noncoding,forward
NC_058368.1_187589220_187589352,1.44488e-5,none,none,0.7532,10.2809448242,0,noncoding,reverse
NC_058368.1_189823176_189823285,2.05148e-6,none,none,0.6726,4.55657958984,0,noncoding,forward
NC_058368.1_192327387_192327550,1.61196e-4,none,none,0.9449,3.42266845703,0,noncoding,forward
NC_058368.1_195468379_195468549,9.44214e-5,none,none,1.1649,7.74859619141,0,noncoding,forward
NC_058368.1_195674942_195675074,2.8781e-4,none,none,1.2564,4.74981689453,0,noncoding,forward
NC_058368.1_197344342_197344427,3.52926e-5,none,none,0.4827,5.99554443359,0,noncoding,forward
NC_058368.1_209242684_209242800,6.67503e-5,none,none,0.6068,8.83660888672,0,noncoding,forward
NC_058368.1_210817187_210817016,0.0011962,none,none,0.588,9.89239501953,0,noncoding,forward
NC_058368.1_211304612_211304762,1.87703e-4,none,none,0.9005,9.52301025391,0,noncoding,reverse
NC_058368.1_211471101_211470951,0.00224768,none,none,1.0589,10.016784668,0,noncoding,forward
NC_058368.1_211831080_211831224,7.9447e-5,none,none,0.5395,7.99981689453,0,noncoding,reverse
NC_058368.1_212139249_212139419,9.23154e-4,none,none,0.6683,9.49346923828,0,noncoding,forward
NC_058368.1_218669458_218670340,6.03076e-4,none,none,0.7865,5.74822998047,0,noncoding,reverse
NC_058368.1_21920699_21920840,9.41381e-5,none,none,0.6921,11.4717407227,0,noncoding,reverse
NC_058368.1_227532305_227532156,1.92234e-4,none,none,0.7749,4.56304931641,0,noncoding,forward
NC_058368.1_228160298_228160522,7.46109e-6,none,none,0.8212,7.97625732422,0,noncoding,reverse
NC_058368.1_235549112_235548974,2.081e-4,none,none,0.8383,9.38165283203,0,noncoding,forward
