Name,Score,Label,Direction
NC_066857.1_10150200_10150119,0.25509,noncoding,forward
NC_066857.1_10185436_10185211,0.76207,coding,forward
NC_066857.1_1031973_1031838,0.16494,noncoding,forward
NC_066857.1_1046858_1046688,0.19124,noncoding,forward
NC_066857.1_1058868_1058588,0.98958,coding,forward
NC_066857.1_11401730_11401630,0.80689,coding,reverse
NC_066857.1_11699537_11699322,0.61979,coding,reverse
NC_066857.1_1188562_1189007,0.99609,coding,forward
NC_066857.1_13060604_13060704,0.07915,noncoding,reverse
NC_066857.1_1330646_1330741,0.35811,noncoding,reverse
NC_066857.1_1519602_1519505,0.54296,coding,forward
NC_066857.1_15305570_15305110,0.92316,coding,forward
NC_066857.1_15413202_15412541,0.99114,coding,forward
NC_066857.1_1619049_1618949,0.83303,coding,forward
NC_066857.1_1624634_1624534,0.52888,coding,forward
NC_066857.1_16321748_16321830,0.78469,coding,forward
NC_066857.1_16451381_16451266,0.13167,noncoding,forward
NC_066857.1_16597880_16597985,0.07707,noncoding,reverse
NC_066857.1_16906070_16906463,0.98801,coding,forward
NC_066857.1_17217112_17216979,0.63198,coding,reverse
NC_066857.1_17421844_17421982,0.62094,coding,reverse
NC_066857.1_17441800_17441614,0.13169,noncoding,forward
NC_066857.1_1746074_1746167,0.45611,noncoding,reverse
NC_066857.1_17552309_17551650,0.99573,coding,forward
NC_066857.1_17567408_17567294,0.89244,coding,forward
NC_066857.1_1864776_1864649,0.22526,noncoding,forward
NC_066857.1_1997165_1997066,0.46803,noncoding,forward
NC_066857.1_20708049_20707949,0.15242,noncoding,forward
NC_066857.1_2110250_2110078,0.66619,coding,reverse
NC_066857.1_21308024_21307620,0.97017,coding,forward
NC_066857.1_22785337_22785513,0.89389,coding,reverse
NC_066857.1_2280365_2280469,0.66459,coding,forward
NC_066857.1_2333573_2333728,0.53692,coding,reverse
NC_066857.1_23377299_23377569,0.96163,coding,forward
NC_066857.1_25204442_25204559,0.42415,noncoding,reverse
NC_066857.1_26252485_26252393,0.40318,noncoding,reverse
NC_066857.1_27026603_27026687,0.17601,noncoding,forward
NC_066857.1_28952234_28952411,0.54022,coding,forward
NC_066857.1_29128090_29127889,0.97927,coding,forward
NC_066857.1_2914258_2914426,0.69541,coding,forward
NC_066857.1_30374414_30373299,0.99953,coding,forward
NC_066857.1_30431996_30432272,0.9292,coding,forward
NC_066857.1_307584_307766,0.16156,noncoding,reverse
NC_066857.1_30803104_30803016,0.10284,noncoding,forward
NC_066857.1_3097522_3097423,0.62591,coding,forward
NC_066857.1_3102072_3101911,0.35898,noncoding,forward
NC_066857.1_31435156_31435033,0.41229,noncoding,forward
NC_066857.1_31835027_31834910,0.32809,noncoding,reverse
NC_066857.1_31857979_31858065,0.05627,noncoding,reverse
NC_066857.1_3186680_3187211,0.99949,coding,forward
NC_066857.1_32499935_32500387,0.99716,coding,forward
NC_066857.1_32712614_32712476,0.07057,noncoding,forward
NC_066857.1_32742241_32742364,0.15495,noncoding,reverse
NC_066857.1_32873730_32873649,0.16452,noncoding,forward
NC_066857.1_3296212_3296410,0.74527,coding,forward
NC_066857.1_33200420_33200189,0.24334,noncoding,reverse
NC_066857.1_33487543_33487713,0.26354,noncoding,reverse
NC_066857.1_33503834_33503946,0.22459,noncoding,reverse
NC_066857.1_33791747_33791663,0.53902,coding,forward
NC_066857.1_34037083_34036989,0.40921,noncoding,reverse
NC_066857.1_34047793_34047686,0.18321,noncoding,reverse
NC_066857.1_34119569_34119680,0.21903,noncoding,reverse
NC_066857.1_34442833_34442593,0.88745,coding,forward
NC_066857.1_34759433_34759325,0.12184,noncoding,forward
NC_066857.1_34761952_34761869,0.10799,noncoding,forward
NC_066857.1_34787118_34787219,0.13362,noncoding,forward
NC_066857.1_34975853_34975679,0.7761,coding,reverse
NC_066857.1_35161021_35160921,0.39245,noncoding,reverse
NC_066857.1_35275055_35274962,0.05816,noncoding,reverse
NC_066857.1_35486963_35487163,0.88867,coding,forward
NC_066857.1_35688539_35687997,0.99205,coding,forward
NC_066857.1_3591450_3591565,0.50195,coding,reverse
NC_066857.1_36624687_36624843,0.35816,noncoding,forward
NC_066857.1_36746345_36746458,0.12449,noncoding,forward
NC_066857.1_36747366_36747559,0.8403,coding,forward
NC_066857.1_36803632_36803776,0.12177,noncoding,forward
NC_066857.1_36841918_36842156,0.95107,coding,forward
NC_066857.1_37033500_37033231,0.97614,coding,forward
NC_066857.1_37180275_37180395,0.6364,coding,forward
NC_066857.1_37368414_37368273,0.22632,noncoding,reverse
NC_066857.1_37409909_37409819,0.12691,noncoding,forward
NC_066857.1_37530596_37530510,0.25805,noncoding,forward
NC_066857.1_37600016_37600130,0.60367,coding,forward
NC_066857.1_37600282_37600888,0.99775,coding,forward
NC_066857.1_37654047_37653915,0.83458,coding,forward
NC_066857.1_37657131_37656339,0.99495,coding,forward
NC_066857.1_37703180_37703363,0.81288,coding,reverse
NC_066857.1_37860920_37860721,0.58395,coding,forward
NC_066857.1_37895762_37895889,0.36364,noncoding,forward
NC_066857.1_38043589_38043488,0.09683,noncoding,reverse
NC_066857.1_412289_412169,0.59258,coding,reverse
NC_066857.1_619755_619659,0.17982,noncoding,forward
NC_066857.1_6898528_6898420,0.26018,noncoding,forward
NC_066857.1_705171_705726,0.98677,coding,forward
NC_066857.1_766827_766551,0.79904,coding,forward
NC_066857.1_7975963_7976105,0.11898,noncoding,reverse
NC_066857.1_849314_849395,0.63138,coding,forward
NC_066857.1_868000_868081,0.10051,noncoding,forward
NC_066857.1_9437883_9438093,0.992,coding,forward
NC_066857.1_962533_962323,0.73639,coding,forward
NC_066857.1_9729347_9729433,0.33508,noncoding,forward
NC_066858.1_10051535_10051285,0.27509,noncoding,forward
NC_066858.1_1008452_1008574,0.48611,noncoding,reverse
NC_066858.1_105452_105671,0.95967,coding,forward
NC_066858.1_11527378_11527469,0.46327,noncoding,forward
NC_066858.1_1163254_1163350,0.57502,coding,forward
NC_066858.1_11878761_11878572,0.90137,coding,forward
NC_066858.1_11898567_11898672,0.30936,noncoding,reverse
NC_066858.1_11936281_11936077,0.81593,coding,forward
NC_066858.1_1293476_1293371,0.14677,noncoding,reverse
NC_066858.1_1310652_1310801,0.18158,noncoding,reverse
NC_066858.1_13343740_13343634,0.71843,coding,reverse
NC_066858.1_13585684_13585419,0.9549,coding,forward
NC_066858.1_13587818_13587713,0.75891,coding,forward
NC_066858.1_13937133_13936731,0.98638,coding,forward
NC_066858.1_13972228_13972783,0.96365,coding,forward
NC_066858.1_14491139_14491456,0.8223,coding,forward
NC_066858.1_14814039_14814244,0.87617,coding,forward
NC_066858.1_15081683_15081526,0.32366,noncoding,reverse
NC_066858.1_15178087_15177582,0.99637,coding,forward
NC_066858.1_162480_162579,0.8457,coding,reverse
NC_066858.1_1665370_1665529,0.74786,coding,forward
NC_066858.1_1691446_1691532,0.53584,coding,reverse
NC_066858.1_17114086_17114208,0.20074,noncoding,reverse
NC_066858.1_17199970_17199751,0.56515,coding,forward
NC_066858.1_17263152_17263582,0.99486,coding,forward
NC_066858.1_1737426_1737548,0.25144,noncoding,reverse
NC_066858.1_1851849_1851965,0.62313,coding,forward
NC_066858.1_19015050_19015185,0.75688,coding,forward
NC_066858.1_19079569_19079990,0.99783,coding,forward
NC_066858.1_19080092_19080775,0.99625,coding,forward
NC_066858.1_19194719_19194471,0.36877,noncoding,forward
NC_066858.1_1981403_1981261,0.60369,coding,reverse
NC_066858.1_2020482_2020047,0.93512,coding,forward
NC_066858.1_20645233_20644861,0.86068,coding,forward
NC_066858.1_2102885_2102985,0.29655,noncoding,forward
NC_066858.1_2106042_2105351,0.9982,coding,forward
NC_066858.1_21561348_21560601,0.99903,coding,forward
NC_066858.1_21648108_21648370,0.67955,coding,forward
NC_066858.1_22033165_22033313,0.40588,noncoding,forward
NC_066858.1_22137045_22136947,0.54747,coding,reverse
NC_066858.1_22345475_22345602,0.13234,noncoding,reverse
NC_066858.1_22575095_22574973,0.41671,noncoding,reverse
NC_066858.1_229765_229601,0.1626,noncoding,forward
