Name,Score,Start,End,Label
NC_054857.1_1017696_1017917_Aspergillus_puulaauensis,1.113,79,278,Coding
NC_054857.1_105292_105486_Aspergillus_puulaauensis,0.848,76,275,No
NC_054857.1_1060342_1059931_Aspergillus_puulaauensis,1.299,244,443,Coding
NC_054857.1_1086192_1086638_Aspergillus_puulaauensis,1.342,76,275,Coding
NC_054857.1_1087754_1087290_Aspergillus_puulaauensis,1.335,178,377,Coding
NC_054857.1_1116103_1116964_Aspergillus_puulaauensis,1.348,217,416,Coding
NC_054857.1_1149480_1149364_Aspergillus_puulaauensis,0.746,22,221,No
NC_054857.1_1237158_1236834_Aspergillus_puulaauensis,1.124,172,371,Coding
NC_054857.1_1268505_1268332_Aspergillus_puulaauensis,1.337,70,269,Coding
NC_054857.1_1291948_1291686_Aspergillus_puulaauensis,1.048,97,296,Coding
NC_054857.1_1312260_1312679_Aspergillus_puulaauensis,1.352,112,311,Coding
NC_054857.1_1376969_1377107_Aspergillus_puulaauensis,0.973,46,245,Coding
NC_054857.1_1420388_1420203_Aspergillus_puulaauensis,1.333,1,200,Coding
NC_054857.1_1422657_1422239_Aspergillus_puulaauensis,1.192,79,278,Coding
NC_054857.1_1444338_1444122_Aspergillus_puulaauensis,1.094,43,242,Coding
NC_054857.1_1469653_1469308_Aspergillus_puulaauensis,1.211,109,308,Coding
NC_054857.1_1490894_1490749_Aspergillus_puulaauensis,1.043,43,242,Coding
NC_054857.1_1493254_1493168_Aspergillus_puulaauensis,0.917,13,212,No
NC_054857.1_1512368_1512215_Aspergillus_puulaauensis,1.191,43,242,Coding
NC_054857.1_153440_154113_Aspergillus_puulaauensis,1.347,22,221,Coding
NC_054857.1_154473_154307_Aspergillus_puulaauensis,1.130,19,218,Coding
NC_054857.1_1574185_1575274_Aspergillus_puulaauensis,1.301,808,1007,Coding
NC_054857.1_1594099_1594417_Aspergillus_puulaauensis,1.317,160,359,Coding
NC_054857.1_1595652_1596772_Aspergillus_puulaauensis,1.313,679,878,Coding
NC_054857.1_1638028_1637937_Aspergillus_puulaauensis,1.136,25,224,Coding
NC_054857.1_1681992_1682753_Aspergillus_puulaauensis,1.365,328,527,Coding
NC_054857.1_1693422_1693015_Aspergillus_puulaauensis,1.294,133,332,Coding
NC_054857.1_1704198_1704363_Aspergillus_puulaauensis,1.179,85,284,Coding
NC_054857.1_1704421_1705327_Aspergillus_puulaauensis,1.248,592,791,Coding
NC_054857.1_1710857_1710986_Aspergillus_puulaauensis,1.248,79,278,Coding
NC_054857.1_1712185_1712065_Aspergillus_puulaauensis,1.039,37,236,Coding
NC_054857.1_175766_176192_Aspergillus_puulaauensis,1.117,367,566,Coding
NC_054857.1_1824623_1824402_Aspergillus_puulaauensis,1.089,100,299,Coding
NC_054857.1_1825725_1825823_Aspergillus_puulaauensis,0.779,16,215,No
NC_054857.1_1857023_1857550_Aspergillus_puulaauensis,1.353,346,545,Coding
NC_054857.1_1875479_1875564_Aspergillus_puulaauensis,0.952,31,230,Coding
NC_054857.1_1879625_1879480_Aspergillus_puulaauensis,1.130,64,263,Coding
NC_054857.1_1881589_1881878_Aspergillus_puulaauensis,1.171,55,254,Coding
