Name,Score,Start,End
NC_066866.1_3411687_3411810_aligned.fa,-16.1554,none,none
OffPos_NC_066866.1_902095_902473_aligned.fa,-332.1132,none,none
OffPos_NC_066857.1_16597880_16597985_aligned.fa,5.3292,none,none
OffNeg_NC_066864.1_19132427_19132340_aligned.fa,-37.0942,none,none
OffNeg_NC_066858.1_19080092_19080775_aligned.fa,-448.6279,none,none
NC_066860.1_24550866_24551126_aligned.fa,29.5742,none,none
OffPos_NC_066857.1_35688539_35687997_aligned.fa,-535.1993,none,none
NC_066868.1_25123972_25124131_aligned.fa,-14.0631,none,none
NC_066864.1_6410893_6410661_aligned.fa,-95.7254,none,none
OffNeg_NC_066859.1_30853640_30853819_aligned.fa,-31.9859,none,none
OffNeg_NC_066865.1_21533667_21533579_aligned.fa,-57.6191,none,none
NC_066865.1_3380248_3380898_aligned.fa,-246.0892,none,none
OffPos_NC_066863.1_1906486_1906785_aligned.fa,-95.2333,none,none
OffPos_NC_066859.1_28150038_28150236_aligned.fa,-79.0779,none,none
OffNeg_NC_066863.1_2937023_2937228_aligned.fa,-140.7537,none,none
OffPos_NC_066862.1_27834820_27834647_aligned.fa,-38.0416,none,none
OffPos_NC_066862.1_31142465_31142273_aligned.fa,-83.1060,none,none
OffNeg_NC_066864.1_2769536_2769633_aligned.fa,0.0038,none,none
NC_066862.1_1940061_1940189_aligned.fa,99.9983,none,none
NC_066857.1_37368414_37368273_aligned.fa,159.2087,none,none
OffPos_NC_066863.1_7760095_7760548_aligned.fa,-333.1119,none,none
OffPos_NC_066858.1_22033165_22033313_aligned.fa,-141.6292,none,none
NC_066858.1_2842933_2842740_aligned.fa,361.2495,none,none
OffNeg_NC_066867.1_29721658_29721514_aligned.fa,-85.4184,none,none
OffPos_NC_066867.1_7356797_7356948_aligned.fa,-196.9113,none,none
OffPos_NC_066860.1_21522020_21522124_aligned.fa,-49.7721,none,none
NC_066862.1_28901195_28901566_aligned.fa,554.0794,none,none
OffNeg_NC_066857.1_23377299_23377569_aligned.fa,-303.6540,none,none
NC_066860.1_2180362_2180647_aligned.fa,69.9999,none,none
NC_066867.1_9925407_9925505_aligned.fa,-24.0518,none,none
OffNeg_NC_066868.1_14847063_14847223_aligned.fa,-24.2037,none,none
OffNeg_NC_066863.1_6809732_6810014_aligned.fa,-82.5458,none,none
NC_066864.1_4766181_4766027_aligned.fa,65.3515,none,none
OffNeg_NC_066859.1_27865799_27865707_aligned.fa,21.5768,none,none
NC_066862.1_7900203_7900343_aligned.fa,4.3177,none,none
OffPos_NC_066860.1_33008819_33008046_aligned.fa,-583.6330,none,none
NC_066866.1_1037010_1037195_aligned.fa,271.0560,none,none
OffPos_NC_066865.1_24024699_24024576_aligned.fa,-59.6269,none,none
NC_066865.1_24281261_24281019_aligned.fa,208.2581,none,none
NC_066859.1_24147605_24147773_aligned.fa,-84.7201,none,none
OffNeg_NC_066864.1_26691391_26691615_aligned.fa,-130.0336,none,none
OffPos_NC_066864.1_411189_411035_aligned.fa,-85.0983,none,none
OffNeg_NC_066864.1_33139978_33140355_aligned.fa,-316.2088,none,none
OffPos_NC_066862.1_985752_985528_aligned.fa,-104.7668,none,none
OffPos_NC_066857.1_31835027_31834910_aligned.fa,-42.4365,none,none
NC_066862.1_1407235_1407830_aligned.fa,67.4794,none,none
OffNeg_NC_066862.1_2999887_2999659_aligned.fa,-151.3966,none,none
NC_066864.1_5148867_5148962_aligned.fa,-42.0727,none,none
NC_066862.1_15969590_15969453_aligned.fa,-54.6663,none,none
NC_066860.1_2234500_2234372_aligned.fa,0.0187,none,none
OffPos_NC_066861.1_15096820_15096605_aligned.fa,-210.9396,none,none
OffNeg_NC_066868.1_22710524_22709885_aligned.fa,-281.7537,none,none
NC_066864.1_3579533_3579274_aligned.fa,387.6228,none,none
OffPos_NC_066860.1_28218077_28217956_aligned.fa,5.4418,none,none
OffNeg_NC_066865.1_9182648_9182558_aligned.fa,-44.8918,none,none
OffNeg_NC_066867.1_20758752_20758470_aligned.fa,-12.2638,none,none
OffPos_NC_066862.1_2093819_2093675_aligned.fa,-96.6630,none,none
NC_066859.1_28304321_28304150_aligned.fa,225.6951,none,none
OffPos_NC_066861.1_29966253_29965623_aligned.fa,-584.8619,none,none
NC_066862.1_31675097_31674973_aligned.fa,112.7789,none,none
OffPos_NC_066866.1_3586772_3587030_aligned.fa,-227.2621,none,none
OffNeg_NC_066868.1_13515667_13515771_aligned.fa,-0.4075,none,none
OffPos_NC_066858.1_15178087_15177582_aligned.fa,0.0118,none,none
OffPos_NC_066861.1_30180440_30180351_aligned.fa,0.0041,none,none
OffNeg_NC_066863.1_24071566_24070930_aligned.fa,-608.0239,none,none
OffNeg_NC_066862.1_31511230_31511415_aligned.fa,-59.5083,none,none
NC_066864.1_5472725_5472602_aligned.fa,-8.3935,none,none
OffNeg_NC_066859.1_28491681_28491770_aligned.fa,-22.9520,none,none
NC_066862.1_26802250_26802148_aligned.fa,-44.3449,none,none
NC_066867.1_20996942_20997052_aligned.fa,-22.5948,none,none
OffPos_NC_066861.1_23837572_23837654_aligned.fa,116.9674,none,none
OffPos_NC_066857.1_31435156_31435033_aligned.fa,-162.2038,none,none
OffNeg_NC_066868.1_9194572_9194143_aligned.fa,-492.9057,none,none
OffPos_NC_066859.1_30739541_30739381_aligned.fa,-111.7637,none,none
OffNeg_NC_066863.1_257142_256584_aligned.fa,-423.0808,none,none
OffNeg_NC_066867.1_27671295_27671390_aligned.fa,-9.5337,none,none
OffPos_NC_066857.1_35486963_35487163_aligned.fa,-103.1859,none,none
OffPos_NC_066864.1_8152514_8152748_aligned.fa,-173.1313,none,none
OffPos_NC_066868.1_25595296_25595413_aligned.fa,-32.7895,none,none
OffPos_NC_066857.1_11401730_11401630_aligned.fa,-62.5704,none,none
OffNeg_NC_066859.1_12981162_12981415_aligned.fa,-168.3158,none,none
NC_066859.1_1907693_1907849_aligned.fa,-20.2337,none,none
NC_066868.1_23525598_23525512_aligned.fa,-48.6065,none,none
OffNeg_NC_066865.1_21978832_21979380_aligned.fa,-446.0964,none,none
OffNeg_NC_066862.1_4303888_4303975_aligned.fa,12.9376,none,none
NC_066867.1_31255365_31255023_aligned.fa,506.4455,none,none
OffPos_NC_066861.1_8707605_8707517_aligned.fa,-140.3313,none,none
OffNeg_NC_066862.1_18778458_18778328_aligned.fa,-64.5676,none,none
NC_066863.1_25203537_25203421_aligned.fa,-20.5538,none,none
OffPos_NC_066866.1_4915355_4915441_aligned.fa,-31.6667,none,none
OffNeg_NC_066863.1_25365681_25366104_aligned.fa,-448.3000,none,none
OffNeg_NC_066866.1_5161564_5161456_aligned.fa,-0.9413,none,none
NC_066863.1_4172735_4173048_aligned.fa,29.0505,none,none
NC_066863.1_21091464_21091623_aligned.fa,251.6540,none,none
OffPos_NC_066866.1_27695362_27695575_aligned.fa,-95.1702,none,none
OffNeg_NC_066857.1_36746345_36746458_aligned.fa,-37.6066,none,none
OffNeg_NC_066860.1_5041590_5041492_aligned.fa,-153.5570,none,none
OffNeg_NC_066867.1_31690411_31690521_aligned.fa,-45.3938,none,none
NC_066864.1_31934959_31935040_aligned.fa,-70.6615,none,none
OffPos_NC_066862.1_1991627_1991479_aligned.fa,-124.1386,none,none
OffPos_NC_066861.1_3530470_3530359_aligned.fa,-70.6445,none,none
NC_066860.1_10205416_10205509_aligned.fa,103.2767,none,none
OffNeg_NC_066859.1_28195561_28196027_aligned.fa,-284.9050,none,none
NC_066857.1_37654047_37653915_aligned.fa,-25.6000,none,none
OffPos_NC_066867.1_2456804_2456567_aligned.fa,-196.0808,none,none
OffNeg_NC_066861.1_28695451_28695701_aligned.fa,-327.1216,none,none
NC_066857.1_9729347_9729433_aligned.fa,-32.2066,none,none
OffNeg_NC_066863.1_25508507_25508630_aligned.fa,-61.4532,none,none
OffPos_NC_066865.1_24337632_24337715_aligned.fa,-105.5732,none,none
OffPos_NC_066859.1_24995669_24995397_aligned.fa,-360.7382,none,none
OffNeg_NC_066859.1_26460431_26460340_aligned.fa,-70.9371,none,none
OffNeg_NC_066859.1_29811535_29811407_aligned.fa,-69.3086,none,none
OffPos_NC_066858.1_19194719_19194471_aligned.fa,-130.7277,none,none
OffNeg_NC_066862.1_2661898_2661701_aligned.fa,-198.2994,none,none
OffPos_NC_066857.1_34037083_34036989_aligned.fa,0.0047,none,none
NC_066858.1_13587818_13587713_aligned.fa,51.0440,none,none
OffNeg_NC_066865.1_1172151_1172069_aligned.fa,-172.2319,none,none
OffNeg_NC_066858.1_24347644_24348145_aligned.fa,-298.5661,none,none
OffPos_NC_066858.1_2106042_2105351_aligned.fa,-526.4871,none,none
NC_066857.1_34442833_34442593_aligned.fa,-30.6033,none,none
NC_066865.1_15899685_15899866_aligned.fa,42.7914,none,none
OffPos_NC_066860.1_1131575_1131461_aligned.fa,-275.3507,none,none
OffPos_NC_066865.1_4729878_4730151_aligned.fa,-161.6414,none,none
OffNeg_NC_066865.1_21911443_21911300_aligned.fa,-135.6597,none,none
OffPos_NC_066858.1_11898567_11898672_aligned.fa,0.0022,none,none
NC_066863.1_13247674_13247792_aligned.fa,-40.4473,none,none
NC_066867.1_1850572_1850378_aligned.fa,-69.7536,none,none
NC_066859.1_9857881_9858064_aligned.fa,171.6379,none,none
OffNeg_NC_066867.1_32362756_32362433_aligned.fa,-168.1005,none,none
OffPos_NC_066868.1_15811877_15811777_aligned.fa,-58.6800,none,none
OffNeg_NC_066866.1_23327376_23327494_aligned.fa,-22.9371,none,none
OffPos_NC_066859.1_29091823_29091712_aligned.fa,-46.4656,none,none
NC_066863.1_27491055_27491184_aligned.fa,20.6739,none,none
OffPos_NC_066868.1_22956720_22956558_aligned.fa,-13.5906,none,none
OffPos_NC_066863.1_4998286_4998415_aligned.fa,-4.2674,none,none
