Name,Score,Start,End,Label,Direction
NC_054857.1_1017696_1017917,-0.483,none,none,Non-coding,forward
NC_054857.1_105292_105486,-1.206,none,none,Non-coding,forward
NC_054857.1_1060342_1059931,-0.972,none,none,Non-coding,forward
NC_054857.1_1086192_1086638,-0.729,none,none,Non-coding,forward
NC_054857.1_1087754_1087290,-0.703,none,none,Non-coding,reverse
NC_054857.1_1116103_1116964,1.115,none,none,Coding,forward
NC_054857.1_1149480_1149364,0,none,none,Non-coding,reverse
NC_054857.1_1237158_1236834,-1.252,none,none,Non-coding,reverse
NC_054857.1_1268505_1268332,0.149,none,none,Coding,forward
NC_054857.1_1291948_1291686,-1.1,none,none,Non-coding,reverse
NC_054857.1_1312260_1312679,-0.559,none,none,Non-coding,forward
NC_054857.1_1376969_1377107,-0.386,none,none,Non-coding,reverse
NC_054857.1_1420388_1420203,0.806,none,none,Coding,forward
NC_054857.1_1422657_1422239,-1.1,none,none,Non-coding,forward
NC_054857.1_1444338_1444122,-1.097,none,none,Non-coding,forward
NC_054857.1_1469653_1469308,-1.006,none,none,Non-coding,reverse
NC_054857.1_1490894_1490749,-1.21,none,none,Non-coding,forward
NC_054857.1_1493254_1493168,0,none,none,Non-coding,forward
NC_054857.1_1512368_1512215,-0.809,none,none,Non-coding,reverse
NC_054857.1_153440_154113,0.267,none,none,Coding,forward
NC_054857.1_154473_154307,-1.013,none,none,Non-coding,reverse
NC_054857.1_1574185_1575274,1.22,none,none,Coding,forward
NC_054857.1_1594099_1594417,-1.395,none,none,Non-coding,reverse
NC_054857.1_1595652_1596772,0.693,none,none,Coding,forward
NC_054857.1_1638028_1637937,-0.46,none,none,Non-coding,reverse
NC_054857.1_1681992_1682753,0.155,none,none,Coding,forward
NC_054857.1_1693422_1693015,-0.67,none,none,Non-coding,forward
NC_054857.1_1704198_1704363,-0.93,none,none,Non-coding,forward
NC_054857.1_1704421_1705327,1.264,none,none,Coding,forward
NC_054857.1_1710857_1710986,-0.377,none,none,Non-coding,forward
NC_054857.1_1712185_1712065,-1.149,none,none,Non-coding,forward
NC_054857.1_175766_176192,-0.572,none,none,Non-coding,forward
NC_054857.1_1824623_1824402,-0.336,none,none,Non-coding,reverse
NC_054857.1_1825725_1825823,0,none,none,Non-coding,reverse
NC_054857.1_1857023_1857550,-0.325,none,none,Non-coding,forward
NC_054857.1_1875479_1875564,-1.307,none,none,Non-coding,reverse
NC_054857.1_1879625_1879480,-0.502,none,none,Non-coding,forward
NC_054857.1_1881589_1881878,-1.324,none,none,Non-coding,forward
NC_054857.1_1881941_1882069,-1.007,none,none,Non-coding,reverse
NC_054857.1_1887830_1887395,-0.206,none,none,Non-coding,forward
NC_054857.1_1945425_1945506,-1.233,none,none,Non-coding,reverse
NC_054857.1_2031966_2032049,0,none,none,Non-coding,forward
NC_054857.1_2062741_2062867,-1.449,none,none,Non-coding,reverse
NC_054857.1_2088903_2089769,0.363,none,none,Coding,forward
NC_054857.1_214391_214616,0.184,none,none,Coding,reverse
NC_054857.1_2155202_2154431,0.446,none,none,Coding,forward
NC_054857.1_2222971_2223174,-1.202,none,none,Non-coding,forward
NC_054857.1_2244922_2245035,-1.53,none,none,Non-coding,forward
NC_054857.1_2269076_2268796,-1.238,none,none,Non-coding,forward
NC_054857.1_2320940_2319965,1.058,none,none,Coding,forward
NC_054857.1_2375710_2375627,-0.55,none,none,Non-coding,forward
NC_054857.1_2392940_2393201,-1.176,none,none,Non-coding,forward
NC_054857.1_2447596_2447715,-0.688,none,none,Non-coding,forward
NC_054857.1_2449753_2449624,-1.501,none,none,Non-coding,reverse
NC_054857.1_2465745_2465859,-0.993,none,none,Non-coding,reverse
NC_054857.1_2477444_2478015,-0.089,none,none,Non-coding,forward
NC_054857.1_2501116_2501200,-0.601,none,none,Non-coding,reverse
NC_054857.1_2524069_2523884,-0.458,none,none,Non-coding,forward
NC_054857.1_257343_257678,-1.472,none,none,Non-coding,forward
NC_054857.1_2612020_2612311,-1.248,none,none,Non-coding,forward
NC_054857.1_265610_265754,-0.845,none,none,Non-coding,forward
NC_054857.1_2657425_2657556,-0.733,none,none,Non-coding,reverse
NC_054857.1_2690148_2690235,-1.017,none,none,Non-coding,reverse
NC_054857.1_2740932_2740379,-0.746,none,none,Non-coding,reverse
NC_054857.1_2755132_2755285,-1.372,none,none,Non-coding,forward
NC_054857.1_2811608_2811495,-0.379,none,none,Non-coding,reverse
NC_054857.1_2836467_2836184,-1.207,none,none,Non-coding,forward
NC_054857.1_2859032_2859166,-1.143,none,none,Non-coding,forward
NC_054857.1_2861532_2861647,-0.342,none,none,Non-coding,forward
NC_054857.1_2865502_2865359,-1.165,none,none,Non-coding,forward
NC_054857.1_2918407_2917708,-0.527,none,none,Non-coding,reverse
NC_054857.1_2937335_2937884,-1.269,none,none,Non-coding,reverse
NC_054857.1_300743_300841,-0.447,none,none,Non-coding,forward
NC_054857.1_3007976_3008075,-0.494,none,none,Non-coding,forward
NC_054857.1_3036899_3037192,0.682,none,none,Coding,reverse
NC_054857.1_3048801_3049872,-0.614,none,none,Non-coding,reverse
NC_054857.1_3049946_3050390,-0.876,none,none,Non-coding,reverse
NC_054857.1_3059363_3058421,0.447,none,none,Coding,forward
NC_054857.1_3062689_3062778,0,none,none,Non-coding,forward
NC_054857.1_3064239_3064836,-0.419,none,none,Non-coding,forward
NC_054857.1_3109846_3109756,-0.538,none,none,Non-coding,reverse
NC_054857.1_3144646_3144796,0,none,none,Non-coding,forward
NC_054857.1_3168567_3169234,-1.55,none,none,Non-coding,forward
NC_054857.1_3173585_3173426,0.916,none,none,Coding,reverse
NC_054857.1_3183845_3183685,-0.832,none,none,Non-coding,forward
NC_054857.1_3184942_3183896,1.768,none,none,Coding,forward
NC_054857.1_3186707_3186829,0,none,none,Non-coding,reverse
NC_054857.1_3187234_3187441,-1.838,none,none,Non-coding,reverse
NC_054857.1_3200545_3199521,0.705,none,none,Coding,forward
NC_054857.1_3200934_3200848,-0.818,none,none,Non-coding,forward
NC_054857.1_3207758_3208188,-1.339,none,none,Non-coding,reverse
NC_054857.1_321425_321084,-0.753,none,none,Non-coding,forward
NC_054857.1_3358793_3359131,-0.806,none,none,Non-coding,forward
NC_054857.1_337509_337414,-0.681,none,none,Non-coding,forward
NC_054857.1_3393766_3393585,-1.323,none,none,Non-coding,reverse
NC_054857.1_343165_342220,0.859,none,none,Coding,forward
NC_054857.1_3510109_3510324,-0.778,none,none,Non-coding,reverse
NC_054857.1_3515361_3516134,0.289,none,none,Coding,forward
NC_054857.1_3516213_3516739,-0.529,none,none,Non-coding,forward
NC_054857.1_3530158_3530610,-0.208,none,none,Non-coding,forward
NC_054857.1_3538424_3537660,0.552,none,none,Coding,forward
NC_054857.1_357236_356738,-1.142,none,none,Non-coding,forward
NC_054857.1_362096_362227,-0.474,none,none,Non-coding,reverse
NC_054857.1_3633614_3633708,-1.777,none,none,Non-coding,reverse
NC_054857.1_3634262_3634526,-1.145,none,none,Non-coding,forward
NC_054857.1_3643026_3643203,-1.27,none,none,Non-coding,reverse
NC_054857.1_3663703_3663228,-1.544,none,none,Non-coding,forward
NC_054857.1_3682868_3682685,-0.678,none,none,Non-coding,forward
NC_054857.1_3686796_3686877,-1.555,none,none,Non-coding,forward
NC_054857.1_3687631_3687823,-0.702,none,none,Non-coding,reverse
NC_054857.1_369274_370051,0.173,none,none,Coding,forward
NC_054857.1_3736552_3735778,0.105,none,none,Coding,forward
NC_054857.1_3744725_3744227,-1.038,none,none,Non-coding,reverse
NC_054857.1_3810006_3809312,0.276,none,none,Coding,forward
NC_054857.1_3877031_3876739,-0.861,none,none,Non-coding,forward
NC_054857.1_3890261_3889942,-0.994,none,none,Non-coding,forward
NC_054857.1_3936117_3935836,0.541,none,none,Coding,forward
NC_054857.1_3980768_3980505,-0.569,none,none,Non-coding,forward
NC_054857.1_3998622_3998170,-0.233,none,none,Non-coding,forward
NC_054857.1_4073983_4074924,0.091,none,none,Coding,forward
NC_054857.1_4139011_4138159,-0.015,none,none,Non-coding,reverse
NC_054857.1_4161071_4160641,-0.725,none,none,Non-coding,forward
NC_054857.1_4236709_4237256,-0.415,none,none,Non-coding,reverse
NC_054857.1_4279450_4279178,-0.755,none,none,Non-coding,reverse
NC_054857.1_4287962_4288306,-0.892,none,none,Non-coding,reverse
NC_054857.1_4288723_4289298,0.241,none,none,Coding,forward
NC_054857.1_4355118_4354798,-0.93,none,none,Non-coding,forward
NC_054857.1_4378005_4378125,-1.014,none,none,Non-coding,reverse
NC_054857.1_4408949_4407954,1.854,none,none,Coding,forward
NC_054857.1_4449291_4449501,-0.193,none,none,Non-coding,reverse
NC_054857.1_4464390_4464718,-0.986,none,none,Non-coding,forward
NC_054857.1_4503113_4504056,1.327,none,none,Coding,forward
NC_054857.1_4564230_4563943,0,none,none,Non-coding,reverse
NC_054857.1_4572606_4573371,0.713,none,none,Coding,forward
NC_054857.1_4574555_4574641,-1.213,none,none,Non-coding,forward
NC_054857.1_462130_462661,-0.608,none,none,Non-coding,forward
NC_054857.1_4648826_4649024,-1.521,none,none,Non-coding,reverse
NC_054857.1_4660499_4661403,0.597,none,none,Coding,forward
NC_054857.1_4661454_4662560,1.76,none,none,Coding,forward
NC_054857.1_4721987_4721886,-0.647,none,none,Non-coding,reverse
NC_054857.1_4728037_4728378,0.309,none,none,Coding,forward
NC_054857.1_4784210_4785131,1.219,none,none,Coding,forward
NC_054857.1_4814665_4814539,-1.409,none,none,Non-coding,forward
NC_054857.1_4820435_4820281,-0.272,none,none,Non-coding,forward
NC_054857.1_4822234_4823003,-0.482,none,none,Non-coding,forward
NC_054857.1_4824284_4824124,-1.71,none,none,Non-coding,reverse
NC_054857.1_4863615_4863471,-1.117,none,none,Non-coding,forward
NC_054857.1_4877398_4877068,0.362,none,none,Coding,forward
NC_054857.1_4899003_4898691,-1.713,none,none,Non-coding,reverse
NC_054857.1_4927418_4927893,-0.883,none,none,Non-coding,reverse
NC_054857.1_4960162_4960354,-1.177,none,none,Non-coding,reverse
NC_054857.1_4973363_4974119,-0.495,none,none,Non-coding,forward
NC_054857.1_4999063_4999162,-0.475,none,none,Non-coding,reverse
NC_054857.1_5048382_5047281,1.252,none,none,Coding,forward
NC_054857.1_5140064_5139491,-0.789,none,none,Non-coding,forward
NC_054857.1_515639_516220,-0.04,none,none,Non-coding,forward
NC_054857.1_5163319_5163220,-0.992,none,none,Non-coding,reverse
NC_054857.1_517081_516765,-1.012,none,none,Non-coding,forward
NC_054857.1_5205587_5205089,-1.189,none,none,Non-coding,forward
NC_054857.1_529183_528133,1.299,none,none,Coding,forward
NC_054857.1_5410025_5410727,-0.728,none,none,Non-coding,reverse
NC_054857.1_5424740_5425248,-1.112,none,none,Non-coding,forward
NC_054857.1_5465244_5465328,0,none,none,Non-coding,reverse
NC_054857.1_547021_547138,-1.312,none,none,Non-coding,forward
NC_054857.1_5487300_5486956,-0.914,none,none,Non-coding,forward
NC_054857.1_5498959_5499218,-0.324,none,none,Non-coding,forward
NC_054857.1_5530778_5530910,-1.09,none,none,Non-coding,forward
NC_054857.1_5531251_5531335,0,none,none,Non-coding,reverse
NC_054857.1_5544445_5544285,-0.293,none,none,Non-coding,forward
NC_054857.1_5549034_5549135,0.543,none,none,Coding,forward
NC_054857.1_5590938_5591733,0.139,none,none,Coding,forward
NC_054857.1_5623331_5623234,-0.461,none,none,Non-coding,reverse
NC_054857.1_5644012_5644609,-0.39,none,none,Non-coding,forward
NC_054857.1_5655997_5656219,-1.345,none,none,Non-coding,forward
NC_054857.1_5692877_5692459,-0.013,none,none,Non-coding,forward
NC_054857.1_575040_574572,-1.574,none,none,Non-coding,reverse
NC_054857.1_5767930_5767653,-0.972,none,none,Non-coding,forward
NC_054857.1_5778968_5779220,-1.196,none,none,Non-coding,reverse
NC_054857.1_5786354_5786079,-0.889,none,none,Non-coding,reverse
NC_054857.1_5813448_5813307,-0.53,none,none,Non-coding,reverse
NC_054857.1_5824477_5824642,-1.028,none,none,Non-coding,forward
NC_054857.1_5839253_5839163,-0.616,none,none,Non-coding,reverse
NC_054857.1_5854875_5855280,-0.94,none,none,Non-coding,forward
NC_054857.1_5867280_5867627,-1.486,none,none,Non-coding,forward
NC_054857.1_5867673_5868126,-0.606,none,none,Non-coding,forward
NC_054857.1_592636_591848,0.431,none,none,Coding,forward
NC_054857.1_5955931_5956031,-0.902,none,none,Non-coding,forward
NC_054857.1_6001119_6001007,-0.449,none,none,Non-coding,forward
NC_054857.1_670993_671405,-1.237,none,none,Non-coding,forward
NC_054857.1_682866_683219,-1.033,none,none,Non-coding,forward
NC_054857.1_687730_687946,-0.609,none,none,Non-coding,forward
NC_054857.1_805243_806353,1.572,none,none,Coding,forward
NC_054857.1_823993_825040,1.04,none,none,Coding,forward
NC_054857.1_836923_837435,0.087,none,none,Coding,forward
NC_054857.1_855432_854877,-0.296,none,none,Non-coding,forward
NC_054857.1_927595_927750,0,none,none,Non-coding,reverse
NC_054857.1_94608_94738,-0.893,none,none,Non-coding,forward
NC_054858.1_1017705_1017406,-0.746,none,none,Non-coding,forward
NC_054858.1_104046_103585,-0.307,none,none,Non-coding,forward
NC_054858.1_1068279_1067820,-0.013,none,none,Non-coding,forward
NC_054858.1_1073971_1074141,-1.266,none,none,Non-coding,reverse
NC_054858.1_1092994_1093079,0,none,none,Non-coding,forward
NC_054858.1_1104866_1104985,0.175,none,none,Coding,forward
NC_054858.1_1134220_1133938,-0.966,none,none,Non-coding,reverse
NC_054858.1_1138002_1137792,-0.976,none,none,Non-coding,reverse
NC_054858.1_1167952_1167834,-0.569,none,none,Non-coding,reverse
NC_054858.1_1181192_1181543,-0.464,none,none,Non-coding,forward
NC_054858.1_122584_123103,-1.4,none,none,Non-coding,reverse
NC_054858.1_1227430_1227172,-0.76,none,none,Non-coding,forward
NC_054858.1_124772_124433,-0.858,none,none,Non-coding,forward
NC_054858.1_1267151_1267399,-0.485,none,none,Non-coding,forward
NC_054858.1_1339498_1339388,-1.199,none,none,Non-coding,reverse
NC_054858.1_1370981_1371621,1.366,none,none,Coding,forward
NC_054858.1_1386577_1386130,-0.347,none,none,Non-coding,forward
NC_054858.1_1392017_1392961,1.216,none,none,Coding,forward
NC_054858.1_1471038_1470843,-1.23,none,none,Non-coding,reverse
NC_054858.1_1490723_1490910,-0.233,none,none,Non-coding,reverse
NC_054858.1_1533667_1533967,-1.166,none,none,Non-coding,reverse
NC_054858.1_1544587_1544463,-1.807,none,none,Non-coding,reverse
NC_054858.1_159152_160112,1.117,none,none,Coding,forward
NC_054858.1_1603971_1604057,0,none,none,Non-coding,reverse
NC_054858.1_164669_164411,-1.083,none,none,Non-coding,forward
NC_054858.1_1658556_1658968,-0.531,none,none,Non-coding,forward
NC_054858.1_1705682_1705496,-1.163,none,none,Non-coding,forward
NC_054858.1_170633_169674,1.993,none,none,Coding,forward
NC_054858.1_1743787_1743663,-0.887,none,none,Non-coding,forward
NC_054858.1_1877702_1877838,-1.127,none,none,Non-coding,forward
NC_054858.1_1879299_1879502,-1.03,none,none,Non-coding,reverse
NC_054858.1_1904991_1903869,0.374,none,none,Coding,forward
NC_054858.1_1917335_1917711,-1.137,none,none,Non-coding,forward
NC_054858.1_204019_204247,0.269,none,none,Coding,reverse
NC_054858.1_2041041_2041273,-1.417,none,none,Non-coding,forward
NC_054858.1_2042537_2041886,0.144,none,none,Coding,forward
NC_054858.1_2060888_2060705,-1.227,none,none,Non-coding,reverse
NC_054858.1_206192_206338,-1.264,none,none,Non-coding,reverse
NC_054858.1_2097259_2097883,-0.699,none,none,Non-coding,forward
NC_054858.1_2153160_2152479,-0.565,none,none,Non-coding,forward
