"","Name","Clade","stopFree","CPC2","LGC","CPPred","RNAcode","PhyloCSF","tcode","RNAsamba","bioseq2seq","randScore","PLEK"
"1","NC_054857.1_1017696_1017917","fungiGroup",351,0.172549,-0.483,0.0375059,86.782,392.4723,1.113,0.73117,0.0015,57,-1.65834
"2","NC_054857.1_105292_105486","fungiGroup",342,0.0606513,-1.206,0.682065,66.193,-0.3421,0.848,0.93644,0.0184,26,-1.92703
"3","NC_054857.1_1060342_1059931","fungiGroup",558,0.1737,-0.972,0.831739,151.817,665.5955,1.299,0.98311,0.9989,8,-1.59211
"4","NC_054857.1_1086192_1086638","fungiGroup",519,0.996334,-0.729,0.988132,75.183,-9.5907,1.342,0.99609,0.9984,87,-1.48252
"5","NC_054857.1_1087754_1087290","fungiGroup",537,0.806808,-0.703,0.573706,192.419,524.003,1.335,0.99649,0.7631,95,-1.21109
"6","NC_054857.1_1116103_1116964","fungiGroup",903,0.999996,1.115,0.996368,53.601,10.2744,1.348,0.99975,0.9992,94,-0.525806
"7","NC_054857.1_1149480_1149364","fungiGroup",213,0.0137946,0,0.0195597,23.546,-28.7416,0.746,0.2284,0.006,67,-2.11136
"8","NC_054857.1_1237158_1236834","fungiGroup",321,0.0730618,-1.252,0.336347,21.452,-168.453,1.124,0.49442,0.7649,10,-1.80954
"9","NC_054857.1_1268505_1268332","fungiGroup",324,0.0815215,0.149,0.238213,36.721,201.1313,1.337,0.91029,0.7783,41,-1.93968
"10","NC_054857.1_1291948_1291686","fungiGroup",336,0.0313006,-1.1,0.485512,103.381,170.4405,1.048,0.87594,0.0069,66,-1.78074
"11","NC_054857.1_1312260_1312679","fungiGroup",420,0.738304,-0.559,0.936075,191.978,435.744,1.352,0.96055,0.9942,90,-1.83316
"12","NC_054857.1_1376969_1377107","fungiGroup",258,0.018216,-0.386,0.908319,25.353,-39.7138,0.973,0.62184,0.0045,100,-2.27863
"13","NC_054857.1_1420388_1420203","fungiGroup",237,0.0352051,0.806,0.374011,61.294,126.3155,1.333,0.96806,0.002,37,-1.43583
"14","NC_054857.1_1422657_1422239","fungiGroup",429,0.0911977,-1.1,0.0385084,185.539,200.4376,1.192,0.73041,0.0333,27,-2.32621
"15","NC_054857.1_1444338_1444122","fungiGroup",213,0.042677,-1.097,0.216086,82.377,99.4402,1.094,0.87819,0.064,27,-1.90812
"16","NC_054857.1_1469653_1469308","fungiGroup",306,0.0328642,-1.006,0.307695,209.189,626.5394,1.211,0.63938,0.0101,66,-1.86437
"17","NC_054857.1_1490894_1490749","fungiGroup",201,0.0226283,-1.21,0.0157962,0,0.007,1.043,0.37426,0.0015,30,-2.28602
"18","NC_054857.1_1493254_1493168","fungiGroup",174,0.161748,0,0.0392483,43.704,108.3252,0.917,0.80252,0.0011,71,-2.15494
"19","NC_054857.1_1512368_1512215","fungiGroup",243,0.446285,-0.809,0.211803,55.658,0.0172,1.191,0.88205,0.0685,70,-1.47909
"20","NC_054857.1_153440_154113","fungiGroup",744,0.995477,0.267,0.982918,366.965,1100.9966,1.347,0.96812,0.9993,55,-0.453621
"21","NC_054857.1_154473_154307","fungiGroup",171,0.166182,-1.013,0.0775555,66.307,73.2031,1.13,0.89059,0.015,42,-2.07144
"22","NC_054857.1_1574185_1575274","fungiGroup",1086,1,1.22,0.994188,489.97,1385.4043,1.301,0.99603,0.9997,36,-0.147136
"23","NC_054857.1_1594099_1594417","fungiGroup",294,0.141716,-1.395,0.520877,161.019,427.1086,1.317,0.88814,0.8338,69,-0.625177
"24","NC_054857.1_1595652_1596772","fungiGroup",1122,0.999999,0.693,0.991027,494.442,2065.7153,1.313,0.99909,0.9984,54,-0.123447
"25","NC_054857.1_1638028_1637937","fungiGroup",219,0.0675121,-0.46,0.848095,24.238,-8.7901,1.136,0.72762,0.0079,57,-2.11289
"26","NC_054857.1_1681992_1682753","fungiGroup",852,0.999952,0.155,0.998,174.264,124.1294,1.365,0.99655,0.998,7,-0.816611
"27","NC_054857.1_1693422_1693015","fungiGroup",429,0.962689,-0.67,0.897363,109.029,65.58,1.294,0.98935,0.7451,95,-1.36669
"28","NC_054857.1_1704198_1704363","fungiGroup",258,0.245926,-0.93,0.46772,21.032,-26.6364,1.179,0.96096,0.0021,41,-1.96333
"29","NC_054857.1_1704421_1705327","fungiGroup",957,0.0881921,1.264,0.180914,206.539,490.1137,1.248,0.975,0.9985,61,-1.11468
"30","NC_054857.1_1710857_1710986","fungiGroup",234,0.101341,-0.377,0.201387,8.511,-84.6935,1.248,0.95993,0.0047,50,-2.10067
"31","NC_054857.1_1712185_1712065","fungiGroup",249,0.0181798,-1.149,0.216332,26.885,-153.1717,1.039,0.4844,0.0013,91,-2.06729
"32","NC_054857.1_175766_176192","fungiGroup",441,0.659354,-0.572,0.510002,206.29,459.087,1.117,0.98434,0.9798,88,-1.44967
"33","NC_054857.1_1824623_1824402","fungiGroup",252,0.0614819,-0.336,0.268793,133.391,497.9752,1.089,0.85973,0.0011,27,-1.8934
"34","NC_054857.1_1825725_1825823","fungiGroup",201,0.0401746,0,0.416789,29.081,-44.1293,0.779,0.76737,0.0011,91,-2.19925
"35","NC_054857.1_1857023_1857550","fungiGroup",630,0.952458,-0.325,0.906881,296.268,1073.3866,1.353,0.99598,0.9966,52,-1.20398
"36","NC_054857.1_1875479_1875564","fungiGroup",222,0.0249643,-1.307,0.0780941,41.644,-66.9111,0.952,0.92765,0.0011,3,-2.25935
"37","NC_054857.1_1879625_1879480","fungiGroup",216,0.140133,-0.502,0.838841,43.014,-18.316,1.13,0.70325,0.7308,10,-1.83767
"38","NC_054857.1_1881589_1881878","fungiGroup",336,0.427304,-1.324,0.735921,165.918,464.6713,1.171,0.75823,0.0871,26,-2.0596
"39","NC_054857.1_1881941_1882069","fungiGroup",144,0.0157086,-1.007,0.0279346,32.097,26.2386,0.872,0.94981,5e-04,96,-1.84892
"40","NC_054857.1_1887830_1887395","fungiGroup",492,0.792217,-0.206,0.864279,227.69,633.1674,1.163,0.99264,0.9223,1,-1.42959
"41","NC_054857.1_1945425_1945506","fungiGroup",105,0.00952415,-1.233,0.0140855,27.748,-72.228,0.76,0.83025,1e-04,3,-2.10014
"42","NC_054857.1_2031966_2032049","fungiGroup",231,0.0408557,0,0.222612,34.934,-85.7352,0.893,0.83512,0.0083,18,-2.20565
"43","NC_054857.1_2062741_2062867","fungiGroup",192,0.0189871,-1.449,0.0190748,70.479,139.966,0.976,0.82203,0.0012,5,-1.88807
"44","NC_054857.1_2088903_2089769","fungiGroup",930,0.999996,0.363,0.993623,402.51,1467.7043,1.277,0.99815,0.9997,95,-0.638754
"45","NC_054857.1_214391_214616","fungiGroup",333,0.717726,0.184,0.850874,34.124,219.152,1.253,0.97292,0.9585,63,-1.94259
"46","NC_054857.1_2155202_2154431","fungiGroup",816,0.999992,0.446,0.990168,355.045,1374.0049,1.29,0.99641,0.9988,70,-0.632814
